Сиянскиха Христина Прокловна
Лихачёва Клара Марковна
Анрепа Эмма Клавдиевна
Островская Рада Эммануиловна
Конакова Василиса Савелиевна
Цызырева Александра Денисовна
Ефремовича Инесса Максимильяновна
Швардыгула Ольга Евремовна
Фокина Алла Сигизмундовна
Ярошевич Валентина Евдокимовна
Солдатова Всеслава Валерьевна
Аввакумова Фаина Тимуровна
Лазуткина Тамара Яновна
Красенкова Бронислава Федотовна
Ярмольник Маргарита Прохоровна
Кратенко Кристина Андрияновна
Сычкина Влада Михеевна
Блока Наталия Тимофеевна
Корнейчука Зоя Потаповна
Амбражевича Ираида Германовна
Поникарова Альбина Ильевна
Санникова Розалия Агафоновна
Летова Любовь Зиновьевна
Чемерис Раиса Вадимовна
Коршунова Инга Семеновна
Рогова Марта Ростиславовна
Карабатова Ариадна Валентиновна
Ефремова Таисия Эрнестовна
Хоботилова Юнона Дмитриевна
Зубкова Наталья Порфириевна
Мишутина Арина Родионовна
Митрушичева Марфа Радиславовна
Сухорукова Анна Лаврентиевна
Голодяева Татьяна Рубеновна
Пирожкова Марианна Владимировна
Щербина Ева Сидоровна
Воронова Ефросинья Авдеевна
Коврова Вера Тихоновна
Тамахина Милена Игнатьеивна
Харькова Ксения Борисовна
Меликова Владислава Андриановна
Супрунова Антонина Кирилловна
Бойкова Доминика Соломоновна
Кулумбаева Валерия Петровна
Гришачёва Юлия Руслановна
Энгельгардт Роза Ефимовна
Ломтева Дина Пахомовна
Абрамович Кира Анатолиевна
Судленкова Эльвира Иосифовна
Керимбаева Жанна Варфоломеевна
Твардовская Лилия Ираклиевна
Качаева Алина Романовна
Тукай Агафья Капитоновна
Дудника Софья Данииловна
Цуцкиха Дарья Кондратьевна
Дарюшина Ярослава Гаврииловна
Лисова Оксана Антиповна
Модзалевская Изабелла Терентьевна
Железнова Злата Фомевна
Цветкова Аза Аристарховна
Рождественская Янина Виссарионовна
Карташёва Марина Данилаивна
Меркушева Елена Карповна
Казанцева Анфиса Кондратьевна
Семичаевская Любава Макаровна
Карякина Ангелина Евграфовна
Клименко Регина Елисеевна
Матизова Владлена Григоргиевна
Никитина Вероника Геннадиевна
Низамутдинова Ефросиния Филимоновна
Оболенская Ульяна Вячеславовна
Пахомова Яна Никоновна
Ахматова Эмилия Феликсовна
Резяпкина Изольда Остаповна
Деникина Агния Юрьевна
Валюхова Элеонора Семеновна
Беляева Светлана Аркадиевна
Девяткова Зинаида Захаровна
Ярошинская Лиана Мстиславовна
Милорадова Лада Герасимовна
Меншикова Полина Ипполитовна
Фадеева Мария Никитевна
Жарикова Виктория Измаиловна
Рыбакова Эвелина Николаевна
Кочергова Евгения Давидовна
Францева Инна Федоровна
Гавриленко Римма Богдановна
Рагозина Стела Сократовна
Зюлёва Лидия Филипповна
Климушина Надежда Вениаминовна
Муратова Рената Феодосьевна
Белоглазова Евдокия Елизаровна
Доронина Пелагея Несторовна
Ямалтдинова Ирина Юлиевна
Непеина Елизавета Владиславовна
Скуратова Нона Сергеевна
Медникова Екатерина Поликарповна
Козина Галина Александровна
Сарычева Майя Платоновна
Букирь Ника Владиленовна
